開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
印綬	印绶	yin4 shou4
印刷	印刷	yin4 shua1
印象	印象	yin4 xiang4
印象深刻	印象深刻	yin4 xiang4 shen1 ke4
英鎊	英镑	ying1 bang4
膺懲	膺惩	ying1 cheng2
應當	应当	ying1 dang1
應得	应得	ying1 de2
嬰兒	婴儿	ying1 er2
膺肺	膺肺	ying1 fei4
應分	应分	ying1 fen4
膺服	膺服	ying1 fu2
應付	应付	ying1 fu4
應付帳款	应付帐款	ying1 fu4 zhang4 kuan3
應該	应该	ying1 gai1
應屆	应届	ying1 jie4
應屆畢業生	应届毕业生	ying1 jie4 bi4 ye4 sheng1
英俊	英俊	ying1 jun4
英俊瀟灑	英俊潇洒	ying1 jun4 xiao1 sa3
膺門	膺门	ying1 men2
應名兒	应名儿	ying1 ming2 er5
英年早逝	英年早逝	ying1 nian2 zao3 shi4
英氣勃勃	英气勃勃	ying1 qi4 bo2 bo2
應聲	应声	ying1 sheng1
應收	应收	ying1 shou1
應收帳款	应收帐款	ying1 shou1 zhang4 kuan3
罌粟花	罂粟花	ying1 su4 hua1
膺堂	膺堂	ying1 tang2
櫻桃	樱桃	ying1 tao2
櫻桃花	樱桃花	ying1 tao2 hua1
櫻桃樹	樱桃树	ying1 tao2 shu4
鸚鵡	鹦鹉	ying1 wu3
鸚鵡學舌	鹦鹉学舌	ying1 wu3 xue2 she2
英雄	英雄	ying1 xiong2
英雄輩出	英雄辈出	ying1 xiong2 bei4 chu1
英雄好漢	英雄好汉	ying1 xiong2 hao3 han4
英雄難過美人關	英雄难过美人关	ying1 xiong2 nan2 guo4 mei3 ren2 guan1
英雄事跡	英雄事迹	ying1 xiong2 shi4 ji4
英雄無用武之地	英雄无用武之地	ying1 xiong2 wu2 yong4 wu3 zhi1 di4
應許	应许	ying1 xu3
膺臆	膺臆	ying1 yi4
英勇無比	英勇无比	ying1 yong3 wu2 bi3
應有	应有	ying1 you3
應有盡有	应有尽有	ying1 you3 jin4 you3
應允	应允	ying1 yun3
鷹爪	鹰爪	ying1 zhao3
膺中	膺中	ying1 zhong1
鷹爪子	鹰爪子	ying1 zhua3 zi5
英姿勃勃	英姿勃勃	ying1 zi1 bo2 bo2
英姿煥發	英姿焕发	ying1 zi1 huan4 fa1
英姿颯爽	英姿飒爽	ying1 zi1 sa4 shuang3
纓子	缨子	ying1 zi5
贏得	赢得	ying2 de2
熒光	荧光	ying2 guang1
縈懷	萦怀	ying2 huai2
瀛寰	瀛寰	ying2 huan2
瀠洄	潆洄	ying2 hui2
縈迴	萦回	ying2 hui2
營火	营火	ying2 huo3
螢火蟲	萤火虫	ying2 huo3 chong2
迎接	迎接	ying2 jie1
營救	营救	ying2 jiu4
迎來	迎来	ying2 lai2
營壘	营垒	ying2 lei3
楹聯	楹联	ying2 lian2
迎鑾	迎銮	ying2 luan2
迎面	迎面	ying2 mian4
螢幕	萤幕	ying2 mu4
贏錢	赢钱	ying2 qian2
蠅蛆	蝇蛆	ying2 qu1
迎娶	迎娶	ying2 qu3
縈繞	萦绕	ying2 rao4
營收	营收	ying2 shou1
營私舞弊	营私舞弊	ying2 si1 wu3 bi4
營銷	营销	ying2 xiao1
營養	营养	ying2 yang3
營養豐富	营养丰富	ying2 yang3 feng1 fu4
營養鏈	营养链	ying2 yang3 lian4
營業	营业	ying2 ye4
營業額	营业额	ying2 ye4 e2
營業收入	营业收入	ying2 ye4 shou1 ru4
盈餘	盈余	ying2 yu2
營帳	营帐	ying2 zhang4
影碟	影碟	ying3 die2
影片兒	影片儿	ying3 pian1 er5
影片	影片	ying3 pian4
影評	影评	ying3 ping2
影視	影视	ying3 shi4
影響	影响	ying3 xiang3
影響力	影响力	ying3 xiang3 li4
影像	影像	ying3 xiang4
影子	影子	ying3 zi5
硬幣	硬币	ying4 bi4
應變	应变	ying4 bian4
應承	应承	ying4 cheng2
應酬	应酬	ying4 chou2
應對	应对	ying4 dui4
應對得體	应对得体	ying4 dui4 de2 ti3
應付	应付	ying4 fu4
硬化	硬化	ying4 hua4
應景	应景	ying4 jing3
應考	应考	ying4 kao3
硬殼	硬壳	ying4 ke2
應命	应命	ying4 ming4
應諾	应诺	ying4 nuo4
應聘	应聘	ying4 pin4
映射	映射	ying4 she4
應聲	应声	ying4 sheng1
應聲蟲	应声虫	ying4 sheng1 chong2
應時	应时	ying4 shi2
硬挺	硬挺	ying4 ting3
應驗	应验	ying4 yan4
應邀	应邀	ying4 yao1
應用	应用	ying4 yong4
應戰	应战	ying4 zhan4
應徵	应征	ying4 zheng1
硬紙板	硬纸板	ying4 zhi3 ban3
擁抱	拥抱	yong1 bao4
傭工	佣工	yong1 gong1
擁擠	拥挤	yong1 ji3
慵懶	慵懒	yong1 lan3
庸碌	庸碌	yong1 lu4
傭錢	佣錢	yong1 qian2
傭人	佣人	yong1 ren2
庸俗	庸俗	yong1 su2
饔飧	饔飧	yong1 sun1
饔飧不繼	饔飧不继	yong1 sun1 bu2 ji4
庸庸碌碌	庸庸碌碌	yong1 yong1 lu4 lu4
擁有	拥有	yong1 you3
鱅魚	鳙鱼	yong1 yu2
雍正	雍正	yong1 zheng4
臃腫	臃肿	yong1 zhong3
泳池	泳池	yong3 chi2
勇敢	勇敢	yong3 gan3
永恆	永恒	yong3 heng2
永久	永久	yong3 jiu3
泳褲	泳裤	yong3 ku4
勇力	勇力	yong3 li4
勇力過人	勇力过人	yong3 li4 guo4 ren2
湧入	涌入	yong3 ru4
勇往直前	勇往直前	yong3 wang3 zhi2 qian2
泳衣	泳衣	yong3 yi1
永遠	永远	yong3 yuan3
踴躍	踊跃	yong3 yue4
用餐	用餐	yong4 can1
用詞不當	用词不当	yong4 ci2 bu2 dang4
用詞切當	用词切当	yong4 ci2 qie4 dang4
用法	用法	yong4 fa3
佣工	佣工	yong4 gong1
佣金	佣金	yong4 jin1
用勁	用劲	yong4 jin4
用盡	用尽	yong4 jin4
用盡力氣	用尽力气	yong4 jin4 li4 qi4
用具	用具	yong4 ju4
用力比賽	用力比赛	yong4 li4 bi3 sai4
用例不當	用例不当	yong4 li4 bu2 dang4
用力一搡	用力一搡	yong4 li4 yi4 sang3
佣錢	佣钱	yong4 qian2
佣人	佣人	yong4 ren2
用人不當	用人不当	yong4 ren2 bu2 dang4
用膳	用膳	yong4 shan4
用水和麵	用水和面	yong4 shui3 huo4 mian4
用武之地	用武之地	yong4 wu3 zhi1 di4
用於	用于	yong4 yu2
憂愁	忧愁	you1 chou2
優待	优待	you1 dai4
優待票	优待票	you1 dai4 piao4
優待券	优待券	you1 dai4 quan4
優待證	优待证	you1 dai4 zheng4
優等	优等	you1 deng3
優等獎	优等奖	you1 deng3 jiang3
優等生	优等生	you1 deng3 sheng1
優點	优点	you1 dian3
攸關	攸关	you1 guan1
憂國憂民	忧国忧民	you1 guo2 you1 min2
優厚	优厚	you1 hou4
優化	优化	you1 hua4
憂患	忧患	you1 huan4
優惠	优惠	you1 hui4
幽會	幽会	you1 hui4
優惠待遇	优惠待遇	you1 hui4 dai4 yu4
優惠關稅	优惠关税	you1 hui4 guan1 shui4
優惠價	优惠价	you1 hui4 jia4
優惠價格	优惠价格	you1 hui4 jia4 ge2
悠久	悠久	you1 jiu3
優酪乳	优酪乳	you1 lao4 ru3
優良	优良	you1 liang2
優劣	优劣	you1 lie4
幽靈	幽灵	you1 ling2
憂慮	忧虑	you1 lv4
優美	优美	you1 mei3
幽默	幽默	you1 mo4
幽默感	幽默感	you1 mo4 gan3
憂戚	忧戚	you1 qi1
優缺點	优缺点	you1 que1 dian3
優柔	优柔	you1 rou2
優生	优生	you1 sheng1
優勝	优胜	you1 sheng4
優勝	优胜	you1 sheng4
優勢	优势	you1 shi4
優渥	优渥	you1 wo4
優先	优先	you1 xian1
優先權	优先权	you1 xian1 quan2
優閒	优閒	you1 xian2
憂心忡忡	忧心忡忡	you1 xin1 chong1 chong1
優秀	优秀	you1 xiu4
優秀學生	优秀学生	you1 xiu4 xue2 sheng5
優雅	优雅	you1 ya3
優異	优异	you1 yi4
幽於縲絏	幽于缧绁	you1 yu2 lei2 xie4
優裕	优裕	you1 yu4
憂鬱	忧郁	you1 yu4
憂鬱症	忧郁症	you1 yu4 zheng4
優越	优越	you1 yue4
優越感	优越感	you1 yue4 gan3
優越性	优越性	you1 yue4 xing4
悠哉	悠哉	you1 zai1
優質	优质	you1 zhi4
油餅	油饼	you2 bing3
油彩	油彩	you2 cai3
油菜梗	油菜梗	you2 cai4 geng3
郵差	邮差	you2 chai1
郵戳	邮戳	you2 chuo1
遊盪	游荡	you2 dang4
油電混合車	油电混合车	you2 dian4 hun1 he2 che1
郵購	邮购	you2 gou4
遊逛	游逛	you2 guang4
油鬼	油鬼	you2 gui3
郵寄	邮寄	you2 ji4
郵件	邮件	you2 jian4
遊街示眾	游街示众	you2 jie1 shi4 zhong4
油井	油井	you2 jing3
郵局	邮局	you2 ju2
遊客	游客	you2 ke4
遊覽	游览	you2 lan3
遊覽車	游览车	you2 lan3 che1
遊樂園	游乐园	you2 le4 yuan2
油輪	油轮	you2 lun2
郵輪	邮轮	you2 lun2
遊牧	游牧	you2 mu4
油膩膩	油腻腻	you2 ni4 ni4
郵票	邮票	you2 piao4
油漆	油漆	you2 qi1
尤其	尤其	you2 qi2
油腔滑調	油腔滑调	you2 qiang1 hua2 diao4
油然	油然	you2 ran2
油然而生	油然而生	you2 ran2 er2 sheng1
遊刃有餘	游刃有余	you2 ren4 you3 yu2
猶如	犹如	you2 ru2
遊山玩水	游山玩水	you2 shan1 wan2 shui3
遊手好閒	游手好闲	you2 shou3 hao4 xian2
遊說	游说	you2 shui4
遊絲	游丝	you2 si1
猶太	犹太	you2 tai4
油田	油田	you2 tian2
油條	油条	you2 tiao2
遊艇	游艇	you2 ting3
郵筒	邮筒	you2 tong3
尤物	尤物	you2 wu4
遊戲	游戏	you2 xi4
遊行	游行	you2 xing2
油鹽醬醋	油盐酱醋	you2 yan2 jiang4 cu4
蚰蜒	蚰蜒	you2 yan5
蚰蜒草	蚰蜒草	you2 yan5 cao3
游弋	游弋	you2 yi4
游泳	游泳	you2 yong3
游泳池	游泳池	you2 yong3 chi2
游泳褲衩	游泳裤衩	you2 yong3 ku4 cha3
游泳帽	游泳帽	you2 yong3 mao4
由於	由于	you2 yu2
魷魚	鱿鱼	you2 yu2
猶豫	犹豫	you2 yu4
猶豫不決	犹豫不决	you2 yu4 bu4 jue2
猶豫未決	犹豫未决	you2 yu4 wei4 jue2
遊園會	游园会	you2 yuan2 hui4
油炸	油炸	you2 zha2
油炸鬼	油炸鬼	you2 zha2 gui3
油炸果	油炸果	you2 zha2 guo3
油炸土豆片	油炸土豆片	you2 zha2 tu3 dou4 pian4
油氈	油毡	you2 zhan1
油脂	油脂	you2 zhi1
疣豬	疣猪	you2 zhu1
油漬	油渍	you2 zi4
油嘴滑舌	油嘴滑舌	you2 zui3 hua2 she2
有案可稽	有案可稽	you3 an4 ke3 ji1
有備無患	有备无患	you3 bei4 wu2 huan4
有才能	有才能	you3 cai2 neng2
有出路	有出路	you3 chu1 lu4
有出息	有出息	you3 chu1 xi1
有道理	有道理	you3 dao4 li3
有點	有点	you3 dian3
有福不享，自找苦吃	有福不享，自找苦吃	you3 fu2 bu4 xiang3 zi4 zhao3 ku3 chi1
有關方面	有关方面	you3 guan1 fang1 mian4
有何不可	有何不可	you3 he2 bu4 ke3
有何貴幹	有何贵干	you3 he2 gui4 gan4
黝黑	黝黑	you3 hei1
有機	有机	you3 ji1
有機化合物	有机化合物	you3 ji1 hua4 he2 wu4
有機可乘	有机可乘	you3 ji1 ke3 cheng2
有機體	有机体	you3 ji1 ti3
有勁	有劲	you3 jin4
有可能	有可能	you3 ke3 neng2
有空	有空	you3 kong4
有口難言	有口难言	you3 kou3 nan2 yan2
有禮貌	有礼貌	you3 li3 mao4
有力	有力	you3 li4
有利可圖	有利可图	you3 li4 ke3 tu2
有令必行，有禁必止	有令必行，有禁必止	you3 ling4 bi4 xing2 you3 jin4 bi4 zhi3
有嘛	有嘛	you3 ma2
有毛病	有毛病	you3 mao2 bing4
有沒有	有没有	you3 mei2 you3
有名	有名	you3 ming2
有名無實	有名无实	you3 ming2 wu2 shi2
有模有樣	有模有样	you3 mu2 you3 yang4
有耐心	有耐心	you3 nai4 xin1
有朋自遠方來	有朋自远方来	you3 peng2 zi4 yuan3 fang1 lai2 
有其父必有其子	有其父必有其子	you3 qi2 fu4 bi4 you3 qi2 zi3
有氣無力	有气无力	you3 qi4 wu2 li4
有錢	有钱	you3 qian2
有錢人	有钱人	you3 qian2
友情	友情	you3 qing2
有求必應	有求必应	you3 qiu2 bi4 ying4
有趣	有趣	you3 qu4
有權有勢	有权有势	you3 quan2 you3 shi4
有染	有染	you3 ran3
有人緣	有人缘	you3 ren2 yuan2
有人緣兒	有人缘儿	you3 ren2 yuan2 er5
友善	友善	you3 shan4
有聲望	有声望	you3 sheng1 wang4
有生以來	有生以来	you3 sheng1 yi3 lai2
有生之年	有生之年	you3 sheng1 zhi1 nian2
有失公允	有失公允	you3 shi1 gong1 yun3
有時候	有时候	you3 shi2 hou5
有史以來	有史以来	you3 shi3 yi3 lai2
有損	有损	you3 sun3
有損於	有损于	you3 sun3 yu2
有所不知	有所不知	you3 suo3 bu4 zhi1
有所得，必有所失	有所得，必有所失	you3 suo3 de2 bi4 you3 suo3 shi1
有所作為	有所作为	you3 suo3 zuo4 wei2
有條不紊	有条不紊	you3 tiao2 bu4 wen3
有條有理	有条有理	you3 tiao2 you3 li3
有望	有望	you3 wang4
有問必答	有问必答	you3 wen4 bi4 da2
有問題	有问题	you3 wen4 ti2
有隙可乘	有隙可乘	you3 xi4 ke3 cheng2
有限電視	有限电视	you3 xian4 dian4 shi4
有限公司	有限公司	you3 xian4 gong1 si1
有效	有效	you3 xiao4
有些	有些	you3 xie1
有些人	有些人	you3 xie1 ren2
有信心	有信心	you3 xin4 xin1
有眼不識泰山	有眼不识泰山	you3 yan3 bu4 shi2 tai4 shan1
有一說一，有二說二	有一说一，有二说二	you3 yi1 shuo1 yi1 you3 er4 shuo1 er4
友誼	友谊	you3 yi4
有意	有意	you3 yi4
有意思	有意思	you3 yi4 si5
有一天	有一天	you3 yi4 tian1
有一些	有一些	you3 yi4 xie1
有用	有用	you3 yong4
有緣分	有缘分	you3 yuan2 fen4
有造就	有造就	you3 zao4 jiu4
有轍	有辙	you3 zhe2
有志者事竟成	有志者事竟成	you3 zhi4 zhe3 shi4 jing4 cheng2
有種	有种	you3 zhong3
有罪	有罪	you3 zui4
右邊	右边	you4 bian1
幼兒	幼儿	you4 er2
幼兒園	幼儿园	you4 er2 yuan2
誘餌	诱饵	you4 er3
右耳進，左耳出	右耳进，左耳出	you4 er3 jin4 zuo3 er3 chu1
誘發	诱发	you4 fa1
誘供	诱供	you4 gong4
誘拐	诱拐	you4 guai3
誘惑	诱惑	you4 huo4
右腳	右脚	you4 jiao3
右肋	右肋	you4 lei4
右派	右派	you4 pai4
誘騙	诱骗	you4 pian4
誘人	诱人	you4 ren2
右手	右手	you4 shou3
釉陶	釉陶	you4 tao2
又吐又瀉	又吐又泻	you4 tu4 you4 xie4
又羨又妒	又羡又妒	you4 xian4 you4 du4
幼小	幼小	you4 xiao3
幼芽	幼芽	you4 ya2
右掖	右掖	you4 ye4
誘掖	诱掖	you4 ye4
右翼	右翼	you4 yi4
誘因	诱因	you4 yin1
幼稚	幼稚	you4 zhi4
幼稚園	幼稚园	you4 zhi4 yuan2
佑助	佑助	you4 zhu4
柚子	柚子	you4 zi5
釉子	釉子	you4 zi5
迂腐	迂腐	yu1 fu3
迂迴	迂回	yu1 hui2
淤積	淤积	yu1 ji1
淤泥	淤泥	yu1 ni2
淤塞	淤塞	yu1 se4
瘀血	瘀血	yu1 xie3
魚鰾	鱼鳔	yu2 biao4
瑜不掩瑕	瑜不掩瑕	yu2 bu4 yan3 xia2
魚叉	鱼叉	yu2 cha1
魚翅	鱼翅	yu2 chi4
漁船	渔船	yu2 chuan2
愚蠢	愚蠢	yu2 chun3
魚刺	鱼刺	yu2 ci4
漁村	渔村	yu2 cun1
余當	馀当	yu2 dang1
魚餌	鱼饵	yu2 er3
魚缸	鱼缸	yu2 gang1
漁港	渔港	yu2 gang3
虞姬	虞姬	yu2 ji1
瑜珈	瑜珈	yu2 jia1
愉快	愉快	yu2 kuai4
娛樂	娱乐	yu2 le4
娛樂場所	娱乐场所	yu2 le4 chang3 suo3
娛樂圈	娱乐圈	yu2 le4 quan1
魚雷	鱼雷	yu2 lei2
魚雷艇	鱼雷艇	yu2 lei2 ting3
魚鱗	鱼鳞	yu2 lin2
魚龍混雜	鱼龙混杂	yu2 long2 hun4 za2
輿論	舆论	yu2 lun4
輿論哄然	舆论哄然	yu2 lun4 hong1 ran2
輿論譁然	舆论哗然	yu2 lun4 hua2 ran2
輿論界	舆论界	yu2 lun4 jie4
輿論政治	舆论政治	yu2 lun4 zheng4 zhi4
虞美人	虞美人	yu2 mei3 ren2
愚昧	愚昧	yu2 mei4
漁民	渔民	yu2 min2
魚目混珠	鱼目混珠	yu2 mu4 hun4 zhu1
餘孽	余孽	yu2 nie4
愚弄	愚弄	yu2 nong4
踰期	逾期	yu2 qi1
魚鰭	鱼鳍	yu2 qi2
愚人	愚人	yu2 ren2
漁人	渔人	yu2 ren2
愚人節	愚人节	yu2 ren2 jie2
逾甚	逾甚	yu2 shen4
於是	于是	yu2 shi4
榆樹	榆树	yu2 shu4
魚網	鱼网	yu2 wang3
餘下	余下	yu2 xia4
餘弦	余弦	yu2 xian2
餘勇可賈	余勇可贾	yu2 yong3 ke3 gu3
魚油	鱼油	yu2 you2
魚與熊掌	鱼与熊掌	yu2 yu3 xiong2 zhang3
魚與熊掌不可兼得	鱼与熊掌不可兼得	yu2 yu3 xiong2 zhang3 bu4 ke3 jian1 de2
魚與熊掌，不可兼得	鱼与熊掌，不可兼得	yu2 yu3 xiong2 zhang3 bu4 ke3 jian1 de2
踰越	逾越	yu2 yue4
餘震	余震	yu2 zhen4
語出驚人	语出惊人	yu3 chu1 jing1 ren2
與此同時	与此同时	yu3 ci3 tong2 shi2
雨滴	雨滴	yu3 di1
與否	与否	yu3 fou3
與共	与共	yu3 gong4
雨後春筍	雨后春笋	yu3 hou4 chun1 sun3
與虎謀皮	与虎谋皮	yu3 hu3 mou2 pi2
雨季	雨季	yu3 ji4
雨霽	雨霁	yu3 ji4
傴僂	伛偻	yu3 lou2
語錄	语录	yu3 lu4
羽毛	羽毛	yu3 mao2
羽毛球	羽毛球	yu3 mao2 qiu2
圉牧	圉牧	yu3 mu4
與其	与其	yu3 qi2
語氣助詞	语气助词	yu3 qi4 zhu4 ci2
圉人	圉人	yu3 ren2
與人方便	与人方便	yu3 ren2 fang1 bian4
與人為善	与人为善	yu3 ren2 wei2 shan4
與日俱增	与日俱增	yu3 ri4 ju4 zeng1
與日月爭光	与日月争光	yu3 ri4 yue4 zheng1 guang1
羽絨	羽绒	yu3 rong2
雨傘	雨伞	yu3 san3
與生俱來	与生俱来	yu3 sheng1 ju4 lai2
與世無爭	与世无争	yu3 shi4 wu2 zheng1
雨水	雨水	yu3 shui3
羽檄	羽檄	yu3 xi2
雨雪霏霏	雨雪霏霏	yu3 xue3 fei1 fei1
語焉不詳	语焉不详	yu3 yan1 bu4 xiang2
語言	语言	yu3 yan2
語言班	语言班	yu3 yan2 ban1
語言不通	语言不通	yu3 yan2 bu4 tong1
語言渾朴	语言浑朴	yu3 yan2 hun2 pu3
語言學	语言学	yu3 yan2 xue2
語言學家	语言学家	yu3 yan2 xue2 jia1
雨衣	雨衣	yu3 yi1
語音	语音	yu3 yin1
語音留言信箱	语音留言信箱	yu3 yin1 liu2 yan2 xin4 xiang1
與有榮焉	与有荣焉	yu3 you3 rong2 yan1
與眾不同	与众不同	yu3 zhong4 bu4 tong2
宇宙	宇宙	yu3 zhou4
欲罷不能	欲罢不能	yu4 ba4 bu4 neng2
鷸蚌相爭	鹬蚌相争	yu4 bang4 xiang1 zheng1
鷸蚌相爭，漁翁得利	鹬蚌相争，渔翁得利	yu4 bang4 xiang1 zheng1 yu2 weng1 de2 li4
寓貶於褒	寓贬于褒	yu4 bian3 yu2 bao1
玉帛	玉帛	yu4 bo2
浴場	浴场	yu4 chang3
浴池	浴池	yu4 chi2
遇刺身亡	遇刺身亡	yu4 ci4 shen1 wang2
玉琮	玉琮	yu4 cong2
遇到	遇到	yu4 dao4
預定	预定	yu4 ding4
預訂	预订	yu4 ding4
預防	预防	yu4 fang2
預防注射	预防注射	yu4 fang2 zhu4 she4
育肥	育肥	yu4 fei2
欲蓋彌彰	欲盖弥彰	yu4 gai4 mi2 zhang1
浴缸	浴缸	yu4 gang1
預告片	预告片	yu4 gao4 pian4
遇害	遇害	yu4 hai4
禦寒	御寒	yu4 han2
慾壑難填	欲壑难填	yu4 he4 nan2 tian2
與會	与会	yu4 hui4
與會國	与会国	yu4 hui4 guo2
與會人員	与会人员	yu4 hui4 ren2 yuan2
預計	预计	yu4 ji4
愈加	愈加	yu4 jia1
欲加之罪，其無辭乎	欲加之罪，其无辞乎	yu4 jia1 zhi1 zui4 qi2 wu2 ci2 hu1
御駕	御驾	yu4 jia4
遇見	遇见	yu4 jian4
鬱金香	郁金香	yu4 jin1 xiang1
寓居	寓居	yu4 ju1
愈來愈	愈来愈	yu4 lai2 yu4
預覽	预览	yu4 lan3
預覽版	预览版	yu4 lan3 ban3
預料	预料	yu4 liao4
郁烈	郁烈	yu4 lie4
諭令	谕令	yu4 ling4
浴帽	浴帽	yu4 mao4
鬱悶	郁闷	yu4 men4
玉米粉	玉米粉	yu4 mi3 fen3
玉米麵	玉米面	yu4 mi3 mian4
域名	域名	yu4 ming2
遇難	遇难	yu4 nan4
遇難者	遇难者	yu4 nan4 zhe3
玉佩	玉佩	yu4 pei4
玉器	玉器	yu4 qi4
欲擒故縱	欲擒故纵	yu4 qin2 gu4 zong4
籲請	吁请	yu4 qing3
欲取故予	欲取故予	yu4 qu3 gu4 yu3
與賽	与赛	yu4 sai4
玉石	玉石	yu4 shi2
浴室	浴室	yu4 shi4
預售	预售	yu4 shou4
欲速則不達	欲速则不达	yu4 su4 ze2 bu4 da2
預算	预算	yu4 suan4
寓所	寓所	yu4 suo3
芋頭	芋头	yu4 tou5
鷸鴕	鹬鸵	yu4 tuo2
慾望	欲望	yu4 wang4
鬻文	鬻文	yu4 wen2
鬻文為生	鬻文为生	yu4 wen2 wei2 sheng1
遇襲	遇袭	yu4 xi2
玉璽	玉玺	yu4 xi3
預先付錢	预先付钱	yu4 xian1 fu4 qian2
浴血	浴血	yu4 xue4
浴血奮戰	浴血奋战	yu4 xue4 fen4 zhan4
寓言	寓言	yu4 yan2
預言	预言	yu4 yan2
欲言又止	欲言又止	yu4 yan2 you4 zhi3
玉液瓊漿	玉液琼浆	yu4 ye4 qiong2 jiang1
御醫	御医	yu4 yi1
預應力	预应力	yu4 ying4 li4
預應力混凝土	预应力混凝土	yu4 ying4 li4 hun4 ning2 tu3
御用	御用	yu4 yong4
育幼院	育幼院	yu4 you4 yuan4
鬱鬱不得志	郁郁不得志	yu4 yu4 bu4 de2 zhi4
愈戰愈勇	愈战愈勇	yu4 zhan4 yu4 yong3
預兆	预兆	yu4 zhao4
預製	预制	yu4 zhi4
預製混凝土	预制混凝土	yu4 zhi4 hun4 ning2 tu3
冤魂	冤魂	yuan1 hun2
冤家	冤家	yuan1 jia1
冤情	冤情	yuan1 qing2
冤屈	冤屈	yuan1 qu1
冤枉	冤枉	yuan1 wang3
冤枉好人	冤枉好人	yuan1 wang3 hao3 ren2
鳶尾花	鸢尾花	yuan1 wei3 hua1
鴛鴦	鸳鸯	yuan1 yang1
原本	原本	yuan2 ben3
元旦	元旦	yuan2 dan4
緣分	缘分	yuan2 fen4
原封不動	原封不动	yuan2 feng1 bu2 dong4
員工	员工	yuan2 gong1
元古宙	元古宙	yuan2 gu3 zhou4
緣故	缘故	yuan2 gu4
原核生物域	原核生物域	yuan2 he2 sheng1 wu4 yu4
猿猴	猿猴	yuan2 hou2
原價	原价	yuan2 jia4
原來	原来	yuan2 lai2
原來如此	原来如此	yuan2 lai2 ru2 ci3
原諒	原谅	yuan2 liang4
轅門	辕门	yuan2 men2
轅門	辕门	yuan2 men2
緣木求魚	缘木求鱼	yuan2 mu4 qiu2 yu2
圓盤耙	圆盘耙	yuan2 pan2 ba4
元配	元配	yuan2 pei4
原配	原配	yuan2 pei4
園圃	园圃	yuan2 pu3
元氣大傷	元气大伤	yuan2 qi4 da4 shang1
源泉	源泉	yuan2 quan2
猿人	猿人	yuan2 ren2
原生生物	原生生物	yuan2 sheng1 sheng1 wu4
原生生物界	原生生物界	yuan2 sheng1 sheng1 wu4 jie4
原始	原始	yuan2 shi3
元首	元首	yuan2 shou3
援手	援手	yuan2 shou3
圓熟	圆熟	yuan2 shu2
元帥	元帅	yuan2 shuai4
源頭	源头	yuan2 tou2
員外	员外	yuan2 wai4
員外郎	员外郎	yuan2 wai4 lang2
原先	原先	yuan2 xian1
元宵	元宵	yuan2 xiao1
元宵節	元宵节	yuan2 xiao1 jie2
原因	原因	yuan2 yin1
援引	援引	yuan2 yin3
援引成例	援引成例	yuan2 yin3 cheng2 li4
援引例證	援引例证	yuan2 yin3 li4 zheng4
援引條文	援引条文	yuan2 yin3 tiao2 wen2
援引賢能	援引贤能	yuan2 yin3 xian2 neng2
援用	援用	yuan2 yong4
援用成例	援用成例	yuan2 yong4 cheng2 li4
援用親信	援用亲信	yuan2 yong4 qin1 xin4
原由	原由	yuan2 you2
緣由	缘由	yuan2 you2
原則	原则	yuan2 ze2
原址	原址	yuan2 zhi3
圓周	圆周	yuan2 zhou1
圓珠筆	圆珠笔	yuan2 zhu1 bi3
原著	原著	yuan2 zhu4
援助	援助	yuan2 zhu4
圓桌	圆桌	yuan2 zhuo1
圓桌會議	圆桌会议	yuan2 zhuo1 hui4 yi4
原子	原子	yuan2 zi3
原子核	原子核	yuan2 zi3 he2
原子團	原子团	yuan2 zi3 tuan2
源自	源自	yuan2 zi4
原罪	原罪	yuan2 zui4
遠處	远处	yuan3 chu4
遠道而來	远道而来	yuan3 dao4 er2 lai2
遠地	远地	yuan3 di4
遠方	远方	yuan3 fang1
遠航	远航	yuan3 hang2
遠離人群	远离人群	yuan3 li2 ren2 qun2
遠慮	远虑	yuan3 lv4
遠山黛	远山黛	yuan3 shan1 dai4
遠山橫黛	远山横黛	yuan3 shan1 heng2 dai4
遠山眉	远山眉	yuan3 shan1 mei2
遠眺	远眺	yuan3 tiao4
遠征	远征	yuan3 zheng1
遠征軍	远征军	yuan3 zheng1 jun1
遠走高飛	远走高飞	yuan3 zou3 gao1 fei1
怨恨	怨恨	yuan4 hen4
怨聲載道	怨声载道	yuan4 sheng1 zai4 dao4
怨天尤人	怨天尤人	yuan4 tian1 you2 ren2
願望	愿望	yuan4 wang4
願意	愿意	yuan4 yi4
院長	院长	yuan4 zhang3
院子	院子	yuan4 zi5
約定	约定	yue1 ding4
約翰	约翰	yue1 han4
約會	约会	yue1 hui4
约莫	约莫	yue1 mo4
約摸	约摸	yue1 mo5
約束	约束	yue1 shu4
閱兵	阅兵	yue4 bing1
閱兵式	阅兵式	yue4 bing1 shi4
月餅	月饼	yue4 bing3
閱讀	阅读	yue4 du2
閱讀器	阅读器	yue4 du2 qi4
樂隊	乐队	yue4 dui4
悅耳	悦耳	yue4 er3
月份	月份	yue4 fen4
岳父	岳父	yue4 fu4
月光	月光	yue4 guang1
